name
Aaron
Abel
Abigail
Adam
Adrian
Aisha
Albert
Alex
Alexander
Alice
Amanda
Amelia
Amy
Andrew
Angela
Anna
Anthony
Arthur
Ashley
Benjamin
Blessing
Brian
Bridget
Caleb
Carlos
Catherine
Charles
Charlotte
Chipo
Chris
Christian
Christopher
Claudia
Daniel
David
Dennis
Diana
Dorothy
Edward
Elizabeth
Emily
Emma
Eric
Esther
Ethan
Eugene
Faith
Farai
Fiona
Frank
Gabriel
George
Gift
Grace
Hannah
Hope
Ian
Isaac
Isabella
Jack
Jacob
James
Jane
Janet
Jason
Jennifer
Jessica
John
Jonathan
Joseph
Joshua
Joy
Judith
Julia
Karen
Kevin
Laura
Linda
Lisa
Luke
Maria
Mark
Mary
Matthew
Melissa
Michael
Michelle
Moses
Natasha
Nathan
Neo
Nicholas
Nicole
Nomsa
Nokuthula
Nyasha
Oliver
Olivia
Patricia
Patrick
Paul
Peter
Philip
Precious
Rachel
Rebecca
Richard
Robert
Ruth
Ryan
Sarah
Sharon
Simba
Sipho
Sophia
Stephanie
Steven
Susan
Tatenda
Tawanda
Tendai
Thabo
Themba
Thomas
Tichaona
Tinashe
Victor
Victoria
William
Yvonne
Zanele
