surname
Adams
Anderson
Banda
Brown
Campbell
Chikore
Chilufya
Chirwa
Chiripa
Davis
Dlamini
Evans
Garcia
Gomez
Gonzalez
Harris
Jackson
Johnson
Jones
Kamanga
Khumalo
Lee
Lewis
Mabena
Madziva
Makoni
Maphosa
Masuku
Mhlongo
Miller
Mkhize
Moore
Moyo
Mugabe
Muller
Ncube
Ngulube
Nkomo
Ndlovu
Nkosi
Patel
Peterson
Phiri
Rodriguez
Sharma
Sibanda
Simelane
Smith
Taylor
Thomas
Van der Merwe
Williams
Wilson
Zulu
